subID,group,manipulation,time,n_entries
207,long_training,still_valued_post_deval,pre,5
207,long_training,still_valued_post_deval,post,81
210,long_training,devaluation,pre,5
210,long_training,devaluation,post,0
210,long_training,still_valued,pre,5
210,long_training,still_valued,post,17
210,long_training,still_valued_post_deval,pre,5
210,long_training,still_valued_post_deval,post,12
211,long_training,devaluation,pre,5
211,long_training,devaluation,post,5
211,long_training,still_valued,pre,6
211,long_training,still_valued,post,8
211,long_training,still_valued_post_deval,pre,5
211,long_training,still_valued_post_deval,post,10
212,long_training,devaluation,pre,6
212,long_training,devaluation,post,8
212,long_training,still_valued,pre,6
212,long_training,still_valued,post,21
212,long_training,still_valued_post_deval,pre,6
212,long_training,still_valued_post_deval,post,12
213,long_training,devaluation,pre,5
213,long_training,devaluation,post,6
213,long_training,still_valued,pre,5
213,long_training,still_valued,post,51
213,long_training,still_valued_post_deval,pre,5
213,long_training,still_valued_post_deval,post,34
216,long_training,devaluation,pre,5
216,long_training,devaluation,post,0
216,long_training,still_valued,pre,5
216,long_training,still_valued,post,3
216,long_training,still_valued_post_deval,pre,5
216,long_training,still_valued_post_deval,post,3
218,long_training,devaluation,pre,5
218,long_training,devaluation,post,6
218,long_training,still_valued,pre,5
218,long_training,still_valued,post,250
218,long_training,still_valued_post_deval,pre,5
218,long_training,still_valued_post_deval,post,73
223,long_training,devaluation,pre,5
223,long_training,devaluation,post,7
223,long_training,still_valued,pre,5
223,long_training,still_valued,post,16
223,long_training,still_valued_post_deval,pre,5
223,long_training,still_valued_post_deval,post,6
225,long_training,devaluation,pre,5
225,long_training,devaluation,post,3
225,long_training,still_valued,pre,5
225,long_training,still_valued,post,11
225,long_training,still_valued_post_deval,pre,5
225,long_training,still_valued_post_deval,post,6
226,long_training,devaluation,pre,5
226,long_training,devaluation,post,34
226,long_training,still_valued,pre,5
226,long_training,still_valued,post,98
226,long_training,still_valued_post_deval,pre,5
226,long_training,still_valued_post_deval,post,119
227,long_training,devaluation,pre,5
227,long_training,devaluation,post,0
227,long_training,still_valued,pre,5
227,long_training,still_valued,post,13
227,long_training,still_valued_post_deval,pre,5
227,long_training,still_valued_post_deval,post,6
228,long_training,devaluation,pre,5
228,long_training,devaluation,post,0
228,long_training,still_valued,pre,6
228,long_training,still_valued,post,10
228,long_training,still_valued_post_deval,pre,5
228,long_training,still_valued_post_deval,post,1
229,long_training,devaluation,pre,5
229,long_training,devaluation,post,3
229,long_training,still_valued,pre,5
229,long_training,still_valued,post,29
229,long_training,still_valued_post_deval,pre,5
229,long_training,still_valued_post_deval,post,11
230,long_training,devaluation,pre,5
230,long_training,devaluation,post,9
230,long_training,still_valued,pre,5
230,long_training,still_valued,post,41
230,long_training,still_valued_post_deval,pre,5
230,long_training,still_valued_post_deval,post,41
232,long_training,devaluation,pre,5
232,long_training,devaluation,post,5
232,long_training,still_valued,pre,5
232,long_training,still_valued,post,61
232,long_training,still_valued_post_deval,pre,5
232,long_training,still_valued_post_deval,post,65
233,long_training,devaluation,pre,5
233,long_training,devaluation,post,8
233,long_training,still_valued,pre,5
233,long_training,still_valued,post,89
233,long_training,still_valued_post_deval,pre,5
233,long_training,still_valued_post_deval,post,33
234,long_training,devaluation,pre,5
234,long_training,devaluation,post,7
234,long_training,still_valued,pre,5
234,long_training,still_valued,post,6
234,long_training,still_valued_post_deval,pre,5
234,long_training,still_valued_post_deval,post,0
235,long_training,devaluation,pre,5
235,long_training,devaluation,post,49
235,long_training,still_valued,pre,5
235,long_training,still_valued,post,232
235,long_training,still_valued_post_deval,pre,5
235,long_training,still_valued_post_deval,post,360
236,long_training,devaluation,pre,5
236,long_training,devaluation,post,3
236,long_training,still_valued,pre,5
236,long_training,still_valued,post,39
236,long_training,still_valued_post_deval,pre,5
236,long_training,still_valued_post_deval,post,23
237,long_training,devaluation,pre,5
237,long_training,devaluation,post,4
237,long_training,still_valued,pre,5
237,long_training,still_valued,post,63
237,long_training,still_valued_post_deval,pre,5
237,long_training,still_valued_post_deval,post,52
239,long_training,devaluation,pre,5
239,long_training,devaluation,post,1
239,long_training,still_valued,pre,5
239,long_training,still_valued,post,28
239,long_training,still_valued_post_deval,pre,5
239,long_training,still_valued_post_deval,post,42
240,long_training,devaluation,pre,5
240,long_training,devaluation,post,0
240,long_training,still_valued,pre,5
240,long_training,still_valued,post,31
240,long_training,still_valued_post_deval,pre,5
240,long_training,still_valued_post_deval,post,29
241,long_training,devaluation,pre,5
241,long_training,devaluation,post,3
241,long_training,still_valued,pre,5
241,long_training,still_valued,post,2
241,long_training,still_valued_post_deval,pre,5
241,long_training,still_valued_post_deval,post,14
242,long_training,devaluation,pre,5
242,long_training,devaluation,post,2
242,long_training,still_valued,pre,5
242,long_training,still_valued,post,6
242,long_training,still_valued_post_deval,pre,6
242,long_training,still_valued_post_deval,post,3
244,long_training,devaluation,pre,5
244,long_training,devaluation,post,1
244,long_training,still_valued,pre,5
244,long_training,still_valued,post,11
244,long_training,still_valued_post_deval,pre,5
244,long_training,still_valued_post_deval,post,31
245,long_training,devaluation,pre,5
245,long_training,devaluation,post,3
245,long_training,still_valued,pre,5
245,long_training,still_valued,post,16
245,long_training,still_valued_post_deval,pre,5
245,long_training,still_valued_post_deval,post,2
246,long_training,devaluation,pre,5
246,long_training,devaluation,post,2
246,long_training,still_valued,pre,5
246,long_training,still_valued,post,49
246,long_training,still_valued_post_deval,pre,5
246,long_training,still_valued_post_deval,post,35
248,long_training,devaluation,pre,6
248,long_training,devaluation,post,0
248,long_training,still_valued,pre,6
248,long_training,still_valued,post,10
248,long_training,still_valued_post_deval,pre,5
248,long_training,still_valued_post_deval,post,7
250,long_training,devaluation,pre,5
250,long_training,devaluation,post,1
250,long_training,still_valued,pre,5
250,long_training,still_valued,post,9
250,long_training,still_valued_post_deval,pre,5
250,long_training,still_valued_post_deval,post,9
251,long_training,devaluation,pre,5
251,long_training,devaluation,post,2
251,long_training,still_valued,pre,5
251,long_training,still_valued,post,4
251,long_training,still_valued_post_deval,pre,5
251,long_training,still_valued_post_deval,post,1
252,long_training,devaluation,pre,5
252,long_training,devaluation,post,4
252,long_training,still_valued,pre,7
252,long_training,still_valued,post,26
252,long_training,still_valued_post_deval,pre,5
252,long_training,still_valued_post_deval,post,14
253,long_training,devaluation,pre,5
253,long_training,devaluation,post,6
253,long_training,still_valued,pre,5
253,long_training,still_valued,post,49
253,long_training,still_valued_post_deval,pre,5
253,long_training,still_valued_post_deval,post,20
256,long_training,devaluation,pre,5
256,long_training,devaluation,post,0
256,long_training,still_valued,pre,5
256,long_training,still_valued,post,78
256,long_training,still_valued_post_deval,pre,5
256,long_training,still_valued_post_deval,post,43
257,long_training,devaluation,pre,6
257,long_training,devaluation,post,1
257,long_training,still_valued,pre,5
257,long_training,still_valued,post,3
257,long_training,still_valued_post_deval,pre,5
257,long_training,still_valued_post_deval,post,2
258,long_training,devaluation,pre,5
258,long_training,devaluation,post,1
258,long_training,still_valued,pre,5
258,long_training,still_valued,post,40
258,long_training,still_valued_post_deval,pre,5
258,long_training,still_valued_post_deval,post,24
259,long_training,devaluation,pre,6
259,long_training,devaluation,post,4
259,long_training,still_valued,pre,5
259,long_training,still_valued,post,12
259,long_training,still_valued_post_deval,pre,5
259,long_training,still_valued_post_deval,post,45
260,long_training,devaluation,pre,5
260,long_training,devaluation,post,0
260,long_training,still_valued,pre,5
260,long_training,still_valued,post,6
260,long_training,still_valued_post_deval,pre,5
260,long_training,still_valued_post_deval,post,39
261,long_training,devaluation,pre,5
261,long_training,devaluation,post,0
261,long_training,still_valued,pre,6
261,long_training,still_valued,post,20
261,long_training,still_valued_post_deval,pre,5
261,long_training,still_valued_post_deval,post,9
262,long_training,devaluation,pre,5
262,long_training,devaluation,post,0
262,long_training,still_valued,pre,5
262,long_training,still_valued,post,10
262,long_training,still_valued_post_deval,pre,5
262,long_training,still_valued_post_deval,post,26
263,long_training,devaluation,pre,5
263,long_training,devaluation,post,13
263,long_training,still_valued,pre,5
263,long_training,still_valued,post,89
263,long_training,still_valued_post_deval,pre,5
263,long_training,still_valued_post_deval,post,53
264,long_training,devaluation,pre,5
264,long_training,devaluation,post,5
264,long_training,still_valued,pre,5
264,long_training,still_valued,post,7
264,long_training,still_valued_post_deval,pre,5
264,long_training,still_valued_post_deval,post,12
265,long_training,devaluation,pre,5
265,long_training,devaluation,post,0
265,long_training,still_valued,pre,5
265,long_training,still_valued,post,10
265,long_training,still_valued_post_deval,pre,5
265,long_training,still_valued_post_deval,post,17
304,long_training_parallel_manipulations,devaluation,pre,5
304,long_training_parallel_manipulations,devaluation,post,0
304,long_training_parallel_manipulations,still_valued,pre,6
304,long_training_parallel_manipulations,still_valued,post,0
304,long_training_parallel_manipulations,still_valued_post_deval,pre,5
304,long_training_parallel_manipulations,still_valued_post_deval,post,0
304,long_training_parallel_manipulations,still_valued_post_deval_week1,pre,5
304,long_training_parallel_manipulations,still_valued_post_deval_week1,post,1
304,long_training_parallel_manipulations,still_valued_replacing_devaluation,pre,5
304,long_training_parallel_manipulations,still_valued_replacing_devaluation,post,11
304,long_training_parallel_manipulations,still_valued_week1,pre,5
304,long_training_parallel_manipulations,still_valued_week1,post,9
305,long_training_parallel_manipulations,devaluation,pre,5
305,long_training_parallel_manipulations,devaluation,post,18
305,long_training_parallel_manipulations,still_valued,pre,5
305,long_training_parallel_manipulations,still_valued,post,23
305,long_training_parallel_manipulations,still_valued_post_deval,pre,5
305,long_training_parallel_manipulations,still_valued_post_deval,post,13
305,long_training_parallel_manipulations,still_valued_post_deval_week1,pre,5
305,long_training_parallel_manipulations,still_valued_post_deval_week1,post,63
305,long_training_parallel_manipulations,still_valued_replacing_devaluation,pre,5
305,long_training_parallel_manipulations,still_valued_replacing_devaluation,post,69
305,long_training_parallel_manipulations,still_valued_week1,pre,5
305,long_training_parallel_manipulations,still_valued_week1,post,223
306,long_training_parallel_manipulations,devaluation,pre,5
306,long_training_parallel_manipulations,devaluation,post,7
306,long_training_parallel_manipulations,still_valued,pre,5
