subID,trial_num,action_Stage1,action_Stage2,state_Stage2,reward
101,78,2,1,2,0.0
101,79,2,1,2,1.0
101,80,1,2,3,0.0
101,82,1,2,3,0.0
101,83,2,2,3,0.0
101,84,2,1,2,1.0
101,85,2,1,3,0.0
101,86,2,2,3,0.0
101,87,2,2,3,0.0
101,88,1,1,2,1.0
101,89,1,2,3,0.0
101,90,1,1,2,1.0
101,91,1,2,3,0.0
101,92,1,1,2,0.0
101,93,2,2,3,0.0
101,94,1,2,2,0.0
101,95,2,1,3,1.0
101,96,2,1,3,1.0
101,97,2,1,2,1.0
101,98,2,1,3,0.0
101,99,2,1,2,0.0
101,100,2,1,3,0.0
101,101,2,1,3,0.0
101,102,2,1,3,1.0
101,103,2,1,3,1.0
101,104,2,1,2,0.0
101,105,2,2,2,1.0
101,106,2,1,3,1.0
101,107,2,2,2,1.0
101,108,2,1,3,1.0
101,109,2,2,2,0.0
101,110,2,2,2,1.0
101,111,2,1,3,1.0
101,112,2,2,2,1.0
101,113,2,1,3,1.0
101,114,2,2,2,1.0
101,115,2,1,3,1.0
101,116,2,1,3,1.0
101,117,2,2,2,0.0
101,118,2,1,2,1.0
101,119,2,1,3,0.0
101,120,2,1,3,1.0
101,121,2,1,3,1.0
101,122,2,1,3,0.0
101,123,2,1,3,0.0
101,124,2,2,3,1.0
101,125,2,2,3,1.0
101,126,2,2,2,0.0
101,127,2,2,3,0.0
101,128,2,1,2,1.0
101,129,2,1,3,0.0
101,130,2,2,3,1.0
101,131,2,2,3,0.0
101,132,2,1,3,0.0
101,133,2,1,3,1.0
101,134,2,1,3,1.0
101,135,2,1,3,1.0
101,136,2,1,2,1.0
101,137,2,2,2,1.0
101,138,2,1,2,0.0
101,139,2,2,3,1.0
101,140,2,1,3,0.0
101,141,2,1,2,0.0
101,142,2,2,3,1.0
101,143,2,2,3,0.0
101,144,2,1,3,0.0
101,145,2,1,3,1.0
101,146,2,1,3,0.0
101,147,2,2,2,0.0
101,148,2,2,2,0.0
101,149,2,2,3,0.0
101,150,2,1,3,0.0
101,151,2,2,3,1.0
101,152,2,1,2,1.0
101,153,2,1,2,1.0
101,154,2,1,3,1.0
101,155,2,2,3,0.0
